"","x"
"1",43.3152
"2",42.4840597428486
"3",41.661344334463
"4",40.9254338819157
"5",40.4773930129479
"6",39.8910369902123
"7",39.2454429035601
"8",38.7942944213868
"9",38.304883363063
"10",37.9060802046748
"11",37.4800720059408
"12",37.1159122127436
"13",36.6768680476799
"14",36.2842432757897
"15",35.9279566605979
"16",35.5739601299905
"17",35.2182456720497
"18",34.843884459759
"19",34.4416321815061
"20",34.0489002664201
"21",33.6083085917827
"22",33.3230099710084
"23",32.9826428851064
"24",32.6067459943264
"25",32.1787224377715
"26",31.785231732584
"27",31.4154254324787
"28",31.0653550082129
"29",30.6843307795439
"30",30.2947489863441
"31",29.9668719355009
"32",29.5978509962151
"33",29.2755937854895
"34",28.8958392276761
"35",28.5710416962791
"36",28.2051729398328
"37",27.8220364835407
"38",27.4653409563462
"39",27.1658692019611
"40",26.8476077286174
"41",26.5527858090756
"42",26.2853105576096
"43",25.9207832440607
"44",25.583625643038
"45",25.3054209968319
"46",25.013907202908
"47",24.7257515950456
"48",24.440915487273
"49",24.1593606393741
"50",23.8810492517181
"51",23.6059439601616
"52",23.3340078310165
"53",23.065204356082
"54",22.7994974477366
